[2023-09-16 14:35:37,194] INFO _log() L187   * Restarting with stat - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:13,651] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:13] "[32mGET / HTTP/1.1[0m" 302 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:13,742] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:13] "[32mGET /openapi HTTP/1.1[0m" 308 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:13,766] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:13] "GET /openapi/ HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:14,018] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:14] "GET /openapi/static/images/redoc.svg HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:14,020] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:14] "GET /openapi/static/images/swagger.svg HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:14,044] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:14] "GET /openapi/static/images/rapidoc.svg HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:15,795] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:15] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:15,844] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:15] "GET /openapi/static/css/swagger-ui.css HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:15,934] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:15] "GET /openapi/static/js/swagger-ui-bundle.js HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:16,076] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:16] "GET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-16 14:36:16,261] INFO _log() L187  127.0.0.1 - - [16/Sep/2023 14:36:16] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=C:\Users\lauro\Documents\lauro\Sistemas\controle_gastos_app\despesas_app\Lib\site-packages\werkzeug\_internal.py L187 
